run_accession,MALE,FEMALE,predicted,MetaSRA
SRR1164833,0.7576452,0.24235485,MALE,FEMALE
SRR1164787,0.73861325,0.2613867,MALE,FEMALE
SRR1164842,0.69424486,0.30575508,MALE,FEMALE
SRR1164852,0.55770373,0.44229624,MALE,FEMALE
SRR1744423,0.28204748,0.7179525,FEMALE,MALE
SRR1744425,0.38526267,0.6147373,FEMALE,MALE
SRR1744426,0.018864064,0.9811359,FEMALE,MALE
SRR1744427,0.020392792,0.9796072,FEMALE,MALE
SRR1744428,0.023989988,0.97601,FEMALE,MALE
SRR1744429,0.035984572,0.9640155,FEMALE,MALE
SRR1744424,0.43100867,0.56899136,FEMALE,MALE
SRR493962,0.2505463,0.74945366,FEMALE,MALE
SRR493963,0.4680766,0.53192335,FEMALE,MALE
SRR493965,0.43806446,0.56193554,FEMALE,MALE
SRR493966,0.2344333,0.76556665,FEMALE,MALE
SRR493967,0.35140273,0.64859724,FEMALE,MALE
SRR1313296,0.6537026,0.34629738,MALE,FEMALE
SRR1313299,0.653396,0.34660396,MALE,FEMALE
SRR1298966,0.4084446,0.5915554,FEMALE,MALE
SRR1298969,0.23849165,0.7615084,FEMALE,MALE
SRR1298972,0.39142984,0.60857016,FEMALE,MALE
SRR1942938,0.947075,0.052925,MALE,FEMALE
SRR1942946,0.9804613,0.01953871,MALE,FEMALE
SRR1942952,0.98459387,0.015406118,MALE,FEMALE
SRR1942985,0.9713558,0.02864423,MALE,FEMALE
SRR1942989,0.9456199,0.054380115,MALE,FEMALE
DRR001625,0.5905408,0.40945914,MALE,FEMALE
SRR2064837,0.9696871,0.030312909,MALE,FEMALE
SRR2068781,0.90702206,0.092978,MALE,FEMALE
SRR2068818,0.9763767,0.02362328,MALE,FEMALE
SRR2068819,0.9560042,0.04399583,MALE,FEMALE
SRR635193,0.00020173493,0.99979824,FEMALE,MALE
SRR638932,0.0004116546,0.9995883,FEMALE,MALE
SRR2016704,0.9660475,0.033952482,MALE,FEMALE
SRR2016807,0.9244537,0.07554639,MALE,FEMALE
SRR2016810,0.9393374,0.060662583,MALE,FEMALE
SRR1606305,0.9041181,0.09588187,MALE,FEMALE
SRR1606308,0.9227947,0.07720528,MALE,FEMALE
SRR1606311,0.5551901,0.4448099,MALE,FEMALE
SRR2013436,0.98739517,0.012604803,MALE,FEMALE
SRR2013434,0.9953069,0.004693113,MALE,FEMALE
SRR1654790,0.94569045,0.054309618,MALE,FEMALE
ERR039138,0.87095153,0.12904853,MALE,FEMALE
SRR1264501,0.00018285206,0.9998172,FEMALE,MALE
SRR816289,0.9952832,0.004716816,MALE,FEMALE
SRR1609537,3.697662e-05,0.99996305,FEMALE,MALE
SRR786751,0.011201267,0.9887988,FEMALE,MALE
SRR786776,0.98332316,0.016676875,MALE,FEMALE
SRR1818567,0.99377525,0.0062247193,MALE,FEMALE
SRR1818540,0.999658,0.00034199402,MALE,FEMALE
SRR1818534,0.47899687,0.5210031,FEMALE,MALE
SRR1818531,0.9999578,4.223924e-05,MALE,FEMALE
SRR1296081,4.3614422e-05,0.99995637,FEMALE,MALE
SRR1296082,0.9999999,7.1123836e-08,MALE,FEMALE
SRR1296083,0.9999982,1.7752735e-06,MALE,FEMALE
ERR952475,1.3159949e-05,0.9999869,FEMALE,MALE
ERR952495,0.46983954,0.5301604,FEMALE,MALE
SRR1060754,0.5640534,0.43594655,MALE,FEMALE
SRR1060776,0.803208,0.19679196,MALE,FEMALE
SRR1060788,0.79251015,0.20748985,MALE,FEMALE
SRR1798156,0.9999589,4.109407e-05,MALE,FEMALE
SRR1398537,3.0833704e-05,0.9999691,FEMALE,MALE
SRR1554566,1.0,6.5843033e-09,MALE,FEMALE
SRR1554568,1.0,1.4206194e-08,MALE,FEMALE
SRR837824,0.9574589,0.042541016,MALE,FEMALE
SRR837825,0.57018703,0.429813,MALE,FEMALE
SRR837830,0.34702504,0.652975,FEMALE,MALE
SRR837831,0.27127463,0.7287254,FEMALE,MALE
SRR837835,0.15475723,0.8452428,FEMALE,MALE
SRR837836,0.17519973,0.82480025,FEMALE,MALE
SRR837837,0.042400423,0.9575996,FEMALE,MALE
SRR837839,0.19670874,0.8032913,FEMALE,MALE
SRR837841,0.26933834,0.73066163,FEMALE,MALE
SRR1130508,0.00031755088,0.9996824,FEMALE,MALE
SRR1131110,0.0018927545,0.9981072,FEMALE,MALE
SRR1777885,0.98515934,0.0148407025,MALE,FEMALE
SRR563525,0.28695014,0.7130498,FEMALE,MALE
SRR563529,0.16903557,0.8309644,FEMALE,MALE
SRR563534,0.16018033,0.8398197,FEMALE,MALE
SRR563535,0.258036,0.741964,FEMALE,MALE
SRR563539,0.11647382,0.8835262,FEMALE,MALE
SRR563547,0.2224183,0.7775817,FEMALE,MALE
SRR563549,0.26630226,0.7336977,FEMALE,MALE
SRR563552,0.49217972,0.5078202,FEMALE,MALE
SRR563556,0.619971,0.38002896,MALE,FEMALE
SRR563557,0.4620786,0.5379214,FEMALE,MALE
SRR1813876,1.7930639e-05,0.9999821,FEMALE,MALE
SRR1792688,0.54219383,0.45780617,MALE,FEMALE
SRR998156,0.40072817,0.59927183,FEMALE,MALE
SRR1296028,0.9615873,0.038412675,MALE,FEMALE
SRR1296029,0.99936765,0.0006324096,MALE,FEMALE
SRR1296019,0.42372075,0.5762793,FEMALE,MALE
SRR1918183,9.448225e-05,0.99990547,FEMALE,MALE
SRR1691634,0.99872977,0.0012702299,MALE,FEMALE
SRR2149942,0.99998677,1.32133955e-05,MALE,FEMALE
SRR2149949,0.99557024,0.0044298247,MALE,FEMALE
SRR886370,0.5878531,0.412147,MALE,FEMALE
SRR886375,0.6431536,0.35684642,MALE,FEMALE
SRR886381,0.046053383,0.95394665,FEMALE,MALE
SRR886384,0.08529029,0.91470975,FEMALE,MALE
SRR886385,0.46564373,0.5343563,FEMALE,MALE
SRR886387,0.0073991115,0.99260086,FEMALE,MALE
SRR886386,0.00016706724,0.99983287,FEMALE,MALE
SRR935664,0.99999917,8.064166e-07,MALE,FEMALE
SRR935665,0.99999356,6.413739e-06,MALE,FEMALE
SRR935666,0.9999858,1.4187874e-05,MALE,FEMALE
SRR935667,1.6142824e-06,0.99999833,FEMALE,MALE
SRR935672,2.2393051e-05,0.9999776,FEMALE,MALE
SRR935674,0.9999869,1.3098621e-05,MALE,FEMALE
SRR935675,2.9406374e-06,0.999997,FEMALE,MALE
SRR935676,4.209843e-07,0.9999995,FEMALE,MALE
SRR935677,5.6374336e-07,0.9999994,FEMALE,MALE
SRR935681,0.9999918,8.179994e-06,MALE,FEMALE
SRR2014243,0.99999976,1.8791137e-07,MALE,FEMALE
SRR2014245,0.00014040137,0.9998596,FEMALE,MALE
SRR1987676,0.99678063,0.0032193845,MALE,FEMALE
SRR1987675,0.9978326,0.002167454,MALE,FEMALE
SRR1186600,0.7815655,0.21843456,MALE,FEMALE
SRR1186606,0.8722063,0.12779373,MALE,FEMALE
SRR1186608,0.9368419,0.06315815,MALE,FEMALE
SRR649364,0.024079435,0.97592056,FEMALE,MALE
SRR2444104,0.0001463068,0.99985373,FEMALE,MALE
SRR2444103,0.9999932,6.850841e-06,MALE,FEMALE
SRR2444102,0.9999999,1.647238e-07,MALE,FEMALE
SRR2444101,0.9996729,0.0003270962,MALE,FEMALE
SRR2444100,0.9999968,3.1792922e-06,MALE,FEMALE
SRR2444099,0.00056731596,0.9994326,FEMALE,MALE
SRR2444098,7.343564e-05,0.99992657,FEMALE,MALE
SRR2444097,0.014294835,0.98570514,FEMALE,MALE
SRR2444093,0.99999964,3.1086796e-07,MALE,FEMALE
SRR032116,0.2077925,0.79220754,FEMALE,MALE
SRR032118,0.28264537,0.7173547,FEMALE,MALE
SRR032120,0.4740168,0.5259832,FEMALE,MALE
SRR032121,0.23902784,0.7609721,FEMALE,MALE
SRR032124,0.5468794,0.45312065,MALE,FEMALE
SRR032125,0.7100426,0.28995743,MALE,FEMALE
SRR2084701,0.022456557,0.9775434,FEMALE,MALE
SRR2084705,0.0084097795,0.9915902,FEMALE,MALE
SRR1168342,0.29360622,0.7063937,FEMALE,MALE
SRR1168394,0.9997029,0.00029705334,MALE,FEMALE
SRR1168395,0.2681359,0.7318641,FEMALE,MALE
SRR1931819,4.245213e-07,0.9999995,FEMALE,MALE
SRR1931817,1.0,5.7813515e-10,MALE,FEMALE
SRR1931814,1.0,4.8020707e-09,MALE,FEMALE
SRR1931813,7.278466e-07,0.9999993,FEMALE,MALE
SRR952669,0.99999785,2.1657584e-06,MALE,FEMALE
SRR952670,0.68873507,0.31126493,MALE,FEMALE
SRR952671,0.9990995,0.0009005712,MALE,FEMALE
SRR1047311,0.00040955908,0.99959046,FEMALE,MALE
SRR1047312,4.2630876e-05,0.9999573,FEMALE,MALE
SRR816285,0.6062004,0.3937997,MALE,FEMALE
SRR1606307,0.9306812,0.06931873,MALE,FEMALE
SRR1606301,0.9267823,0.07321764,MALE,FEMALE
SRR1164850,0.7461993,0.2538007,MALE,FEMALE
SRR3096662,0.16548361,0.8345164,FEMALE,MALE
SRR1942962,0.9818357,0.01816424,MALE,FEMALE
SRR2016741,0.97009605,0.029903974,MALE,FEMALE
SRR1942929,0.9818033,0.018196682,MALE,FEMALE
SRR1164861,0.685546,0.314454,MALE,FEMALE
SRR493964,0.2303906,0.76960933,FEMALE,MALE
SRR1942956,0.94805515,0.051944852,MALE,FEMALE
SRR2013433,0.9968058,0.0031942455,MALE,FEMALE
SRR1942983,0.9804598,0.019540185,MALE,FEMALE
SRR1606310,0.8896999,0.1103001,MALE,FEMALE
SRR1942960,0.9881213,0.011878721,MALE,FEMALE
SRR2016711,0.95659876,0.043401234,MALE,FEMALE
SRR2016701,0.9265129,0.07348713,MALE,FEMALE
SRR2013435,0.9727816,0.027218442,MALE,FEMALE
SRR1164794,0.99998975,1.0310083e-05,MALE,FEMALE
SRR1744422,0.1474775,0.8525225,FEMALE,MALE
